n_per_class,replications,max_se,max_ci95_half_width,target_ci95_half_width,stopping_reason
2,2000,0.00698863997418924,0.013697734349410911,0.01,max_budget
4,2000,0.005335966227188247,0.010458493805288963,0.01,max_budget
8,880,0.005069879355699549,0.009936963537171117,0.01,converged
16,200,0.004959275700377543,0.009720180372739985,0.01,converged
32,100,0.0045124677400403355,0.008844436770479058,0.01,converged
64,100,0.003411447118968272,0.006686436353177813,0.01,converged
128,100,0.0026965735776306008,0.005285284212155977,0.01,converged
256,100,0.0020642698873606343,0.004045968979226843,0.01,converged
512,100,0.0014001818457748286,0.002744356417718664,0.01,converged
1024,100,0.0009844507634600142,0.0019295234963816277,0.01,converged
